area;stato;cartella_principale;tipo_file;nome_file;percorso_relativo;dimensione_kb;ultima_modifica
Fornitori/subappalti o generale;storico/obsoleto;0-GUÍA DEL SISTEMA;.docx;Politica de calidad_mamb_SST rev02.docx;0-GUÍA DEL SISTEMA\0.1. Política\obsoleto\Politica de calidad_mamb_SST rev02.docx;90.4;1779627920.0
Fornitori/subappalti o generale;storico/obsoleto;0-GUÍA DEL SISTEMA;.docx;Politica de calidad_mamb_SST rev03.docx;0-GUÍA DEL SISTEMA\0.1. Política\obsoleto\Politica de calidad_mamb_SST rev03.docx;90.3;1779627920.0
Fornitori/subappalti o generale;storico/obsoleto;0-GUÍA DEL SISTEMA;.docx;Politica de calidad_mamb_SST rev04.docx;0-GUÍA DEL SISTEMA\0.1. Política\obsoleto\Politica de calidad_mamb_SST rev04.docx;91.7;1779627920.0
Fornitori/subappalti o generale;storico/obsoleto;0-GUÍA DEL SISTEMA;.pdf;Politica de calidad_mamb_SST rev04.pdf;0-GUÍA DEL SISTEMA\0.1. Política\obsoleto\Politica de calidad_mamb_SST rev04.pdf;171.5;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;Politica de calidad_mamb_SST rev05.docx;0-GUÍA DEL SISTEMA\0.1. Política\Politica de calidad_mamb_SST rev05.docx;92.6;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;Politica de calidad_mamb_SST rev05.pdf;0-GUÍA DEL SISTEMA\0.1. Política\Politica de calidad_mamb_SST rev05.pdf;784.4;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xlsx;objetivo 21-22.xlsx;0-GUÍA DEL SISTEMA\0.2. Objetivos\objetivo 21-22.xlsx;35.3;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xlsx;objetivo 22-23.xlsx;0-GUÍA DEL SISTEMA\0.2. Objetivos\objetivo 22-23.xlsx;34.6;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xlsx;objetivo 23-24.xlsx;0-GUÍA DEL SISTEMA\0.2. Objetivos\objetivo 23-24.xlsx;18.9;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xlsx;objetivo 24-25.xlsx;0-GUÍA DEL SISTEMA\0.2. Objetivos\objetivo 24-25.xlsx;28.4;1779627920.0
